task_id,method,category,cvsr,object_f1,critical_recall,relation_f1,binding_f1,repair_success,fatal_violation,evidence_precision,replay_success,llm_calls,tool_calls,repair_rounds,tokens,cost_usd,latency_ms
TN04-v2-scene,GenericRepair-AllTools,scene,False,1.0,1.0,0.7273,0.0,,[],1.0,1.0,2,3,1,3059,0.00060802,25826.4
TN04-v2-scene,KAFarmTwin-TypedRepair,scene,False,0.9697,1.0,0.6154,0.0,,[],1.0,1.0,3,9,0,3116,0.00052374,11977.4
TN04-v2-scene,KAFarmTwin-TypedRepair,scene,True,1.0,1.0,0.8333,0.0,,[],1.0,1.0,3,12,0,3080,0.00051562,8770.7
TN04-v2-scene,KAFarmTwin-TypedRepair,scene,False,1.0,1.0,0.7273,0.0,,[],1.0,1.0,3,17,0,3242,0.00056014,16422.8
TN04-v2-scene,KAFarmTwin-TypedRepair,scene,False,1.0,1.0,0.7273,0.0,,[],1.0,1.0,3,12,0,3136,0.00053046,10691.8
TN04-v2-scene,KAFarmTwin-TypedRepair,scene,False,1.0,1.0,0.7273,0.0,,[],1.0,1.0,3,17,0,3353,0.0005912199999999999,18454.8
TN11-v2-asset,SingleAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,1,0,0,1980,0.0004452,18909.0
TN11-v2-asset,SingleAgent-AllTools,asset,False,0.9167,1.0,0.3158,0.0,,['R2'],1.0,0.9091,3,19,0,4139,0.0008015,20595.0
TN11-v2-asset,SingleAgent-AllTools,asset,False,0.88,1.0,0.2667,0.0,,[],1.0,0.7692,3,22,0,3764,0.00068978,18700.6
TN11-v2-asset,SingleAgent-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,1,0,0,1980,0.0004452,16043.4
TN11-v2-asset,SingleAgent-AllTools,asset,False,0.88,1.0,0.375,0.0,,[],1.0,0.7692,3,23,0,4336,0.0008555400000000001,23802.7
TN11-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,18194,0.00410746,283258.8
TN11-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,15170,0.0032519199999999997,146726.9
TN11-v2-asset,ReAct-AllTools,asset,False,0.0,0.0,0.0,0.0,,[],0.0,0.0,10,0,0,17563,0.00393358,140624.7
